

top - 05:08:33 up 28 days, 12:54, 17 users, load average: 0.11, 0.04, 0.01
Tasks: 170 total, 1 running, 169 sleeping, 0 stopped, 0 zombie
Cpu(s): 28.5%us, 5.2%sy, 0.0%ni, 98.1%id, 1.2%wa, 0.0%hi, 0.0%si, 0.0%st
Mem: 8062752k total, 7177188k used, 885564k free, 449228k buffers
Swap: 4128760k total, 0k used, 4128760k free, 3346568k cached
 
PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
6165 root 20 0 184m 1800 924 S 0.0 0.0 0:00.00 cupsd
7836 root 20 0 97868 3828 2908 S 0.0 0.0 0:00.24 sshd
7839 ssadmin 20 0 97868 1948 996 S 0.0 0.0 0:01.39 sshd
7840 ssadmin 20 0 105m 1972 1488 S 0.0 0.0 0:00.33 bash
12312 postfix 20 0 78800 3244 2416 S 0.0 0.0 0:00.00 pickup
14053 ssadmin 20 0 59804 3644 2860 S 0.0 0.0 0:00.02 ssh
14700 ssadmin 8 -12 43228 9544 2576 S 0.0 0.1 1:23.34 httpd
18472 ssadmin 20 0 38956 6972 1996 S 0.0 0.1 1:12.75 httpd
18539 ssadmin 20 0 35328 2216 580 S 0.0 0.0 0:00.00 httpd
18542 ssadmin 20 0 980m 9648 1688 S 0.0 0.1 0:00.01 httpd
20727 ssadmin 8 -12 43196 7524 556 S 0.0 0.1 0:00.00 httpd
20732 ssadmin 8 -12 378m 10m 1060 S 0.0 0.1 0:22.11 httpd
21126 ssadmin 20 0 98.6m 796 684 S 0.0 0.0 0:00.77 mpstat
21417 ssadmin 20 0 98.6m 800 684 S 0.0 0.0 0:00.07 mpstat
21429 ssadmin 20 0 98.6m 796 684 S 0.0 0.0 0:00.00 mpstat
21961 ssadmin 20 0 59936 3664 2860 S 0.0 0.0 0:00.02 ssh
29821 root 20 0 6256 496 360 S 0.0 0.0 0:00.00 mcelog
29848 root 20 0 64116 1184 512 S 0.0 0.0 0:00.35 sshd
29856 root 20 0 22092 828 592 S 0.0 0.0 0:00.00 xinetd
29864 ntp 20 0 30160 1552 1092 S 0.0 0.0 0:08.88 ntpd
29940 root 20 0 78720 2004 1148 S 0.0 0.0 0:14.69 master
29949 root 20 0 6740 488 376 S 0.0 0.0 0:00.00 gpm
29952 postfix 20 0 78972 1996 1136 S 0.0 0.0 0:02.72 qmgr
29959 root 20 0 114m 1236 636 S 0.0 0.0 0:15.51 crond
29970 root 20 0 21452 472 296 S 0.0 0.0 0:00.04 atd
29987 root 20 0 4060 512 432 S 0.0 0.0 0:00.00 mingetty
29989 root 20 0 4060 512 432 S 0.0 0.0 0:00.00 mingetty
29991 root 18 -2 10640 640 256 S 0.0 0.0 0:00.00 udevd
29992 root 18 -2 10640 616 232 S 0.0 0.0 0:00.00 udevd
29993 root 20 0 4060 516 432 S 0.0 0.0 0:00.00 mingetty
29995 root 20 0 4060 516 432 S 0.0 0.0 0:00.00 mingetty
29997 root 20 0 4060 512 432 S 0.0 0.0 0:00.00 mingetty
29999 root 20 0 4060 516 432 S 0.0 0.0 0:00.00 mingetty
30250 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kdmflush
30261 root 20 0 0 0 0 S 0.0 0.0 1:05.67 flush-253:2
30264 root 20 0 0 0 0 S 0.0 0.0 0:57.37 jbd2/dm-2-8
30265 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
30266 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
30267 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
30268 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
31928 root 20 0 97868 3844 2908 S 0.0 0.0 0:00.36 sshd
31930 ssadmin 20 0 97868 1952 996 S 0.0 0.0 0:01.81 sshd
31931 ssadmin 20 0 105m 1900 1456 S 0.0 0.0 0:00.03 bash 
